tipo_muerte,zona,subzona,distrito,circuito,codigo_subcircuito,subcircuito,provincia,codigo_provincia,canton,codigo_canton,coordenada_y,coordenada_x,area_hecho,lugar,tipo_lugar,fecha_infraccion,hora_infraccion,arma,tipo_arma,presunta_motivacion,presun_motiva_observada,probable_causa_motivada,edad,medida_edad,sexo,genero,etnia,estado_civil,nacionalidad,discapacidad,profesion_registro_civil,instruccion
HOMICIDIO,ZONA 9,D.M. QUITO,ELOY ALFARO - DMQ,FERROVIARIA,17D06C11S01,FERROVIARIA 1,PICHINCHA,17,QUITO,1701,-0.25918,-78.51604,URBANO,CASA/VILLA,PRIVADO,2025-01-01 00:00:00,03:00:00,ARMA BLANCA,CUCHILLO,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA BLANCA,19,A,HOMBRE,MASCULINO,SIN_DATO,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,FLORIDA,MARTHA DE ROLDOS,09D06C02S06,MARTHA DE ROLDOS 6,GUAYAS,09,GUAYAQUIL,0901,-2.15441,-79.92717,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,02:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,ROBO A PERSONAS,HERIDA POR ARMA DE FUEGO,19,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,NUEVO GUAYAQUIL,09D08C06S01,NUEVO GUAYAQUIL 1,GUAYAS,09,GUAYAQUIL,0901,-2.1205,-79.973,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,07:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,21,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTION,09D08C04S07,FLOR DE BASTION 7,GUAYAS,09,GUAYAQUIL,0901,-2.09249,-79.96776,URBANO,CASA/VILLA,PRIVADO,2025-01-01 00:00:00,07:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,20,A,MUJER,FEMENINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,ESTUDIANTE,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,NUEVA PROSPERINA,FLOR DE BASTION,09D08C04S07,FLOR DE BASTION 7,GUAYAS,09,GUAYAQUIL,0901,-2.09249,-79.96776,URBANO,CASA/VILLA,PRIVADO,2025-01-01 00:00:00,07:30:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,TRAFICO INTERNOS DE DROGAS (MICROTRAFICO),HERIDA POR ARMA DE FUEGO,23,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,CONSTRUCTOR,SIN_DATO
ASESINATO,ZONA 8,D.M. GUAYAQUIL,SUR - DMG,GUASMO,09D01C01S02,GUASMO 2,GUAYAS,09,GUAYAQUIL,0901,-2.27733,-79.88337,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,06:00:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,43,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,COMERCIANTE,SIN_DATO
HOMICIDIO,ZONA 7,EL ORO,ZARUMA,ZARUMA,07D03C08S01,ZARUMA 1,EL ORO,07,ZARUMA,0713,-3.68582,-79.5926,URBANO,COVACHA/CHOZA,PRIVADO,2025-01-01 00:00:00,05:00:00,ARMA DE FUEGO,PISTOLA,VIOLENCIA COMUNITARIA,RIÑAS,HERIDA POR ARMA DE FUEGO,31,A,HOMBRE,MASCULINO,AFRO,SOLTERO,ECUADOR,NINGUNA,EMPLEADO,SIN_DATO
ASESINATO,ZONA 1,ESMERALDAS,ESMERALDAS,SANTA VAINAS,08D01C14S01,SANTA VAINAS 1,ESMERALDAS,08,ESMERALDAS,0801,0.97141,-79.66136,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,04:40:00,ARMA DE FUEGO,PISTOLA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,SIN_DATO,SIN_DATO,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,NO DETERMINADO,NINGUNA,SIN_DATO,SIN_DATO
ASESINATO,ZONA 5,LOS RIOS,BABAHOYO,CENTRO,12D01C05S01,CENTRO 1,LOS RIOS,12,BABAHOYO,1201,-1.80067,-79.53218,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,06:40:00,ARMA DE FUEGO,OTROS ARMA CORTA,DELINCUENCIA COMUN,AMENAZA,HERIDA POR ARMA DE FUEGO,33,A,HOMBRE,MASCULINO,MESTIZO/A,NO DETERMINADO,ECUADOR,NINGUNA,ESTUDIANTE,SUPERIOR
ASESINATO,ZONA 7,EL ORO,SANTA ROSA,LAS PALMERAS,07D06C06S01,LAS PALMERAS 1,EL ORO,07,SANTA ROSA,0712,-3.44058,-79.94964,URBANO,VIA PUBLICA,PUBLICO,2025-01-01 00:00:00,12:30:00,ARMA CONTUNDENTE,PALO,VIOLENCIA COMUNITARIA,RIÑAS,HERIDAS CONTUSAS,40,A,HOMBRE,MASCULINO,MESTIZO/A,SOLTERO,ECUADOR,NINGUNA,EMPLEADO,SIN_DATO
